CORUMBÁ III (23),,,,,,,,,,,,,
ANO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,MED
1931,285,440,494,375,209,135,123,107,103,106,112,147,220
1932,276,327,248,175,120,109,93,72,57,85,110,216,157
1933,417,343,247,227,147,113,101,78,71,84,98,192,177
1934,240,176,180,143,108,62,53,43,49,63,57,71,104
1935,305,349,313,334,203,124,91,79,45,66,80,136,177
1936,140,90,264,188,116,79,71,54,45,47,64,105,105
1937,187,65,115,142,95,85,63,48,43,61,121,208,103
1938,248,168,174,136,82,70,66,47,39,44,66,177,110
1939,264,276,121,102,89,75,56,49,39,44,83,102,108
1940,182,301,289,145,114,85,66,50,40,48,139,122,132
1941,247,157,132,160,81,66,56,42,42,52,78,148,105
1942,223,209,353,209,118,179,112,62,57,61,111,178,156
1943,462,424,376,206,126,115,93,66,60,92,161,168,196
1944,149,244,234,159,121,81,69,54,43,46,119,126,120
1945,194,388,359,402,218,141,115,86,67,87,152,356,214
1946,450,318,405,254,166,123,111,86,75,76,95,163,194
1947,225,280,485,343,170,118,96,80,66,67,63,186,182
1948,293,276,321,233,106,112,75,64,55,55,51,212,154
1949,239,381,326,192,135,109,117,90,67,85,136,162,170
1950,117,307,306,208,139,96,74,51,39,70,191,261,155
1951,319,307,279,278,168,119,94,74,51,59,52,137,161
1952,216,264,660,320,186,132,97,74,62,78,126,189,200
1953,178,159,261,297,182,112,88,65,62,108,125,236,156
1954,192,285,93,110,76,48,38,29,30,29,76,212,102
1955,274,204,149,182,104,74,47,35,32,66,91,97,113
1956,293,103,262,161,128,145,99,67,41,51,162,294,151
1957,371,543,509,368,283,242,149,103,86,84,111,208,255
1958,258,340,316,250,177,130,109,81,59,85,69,114,166
1959,421,308,419,280,156,115,86,67,45,60,146,144,187
1960,241,345,354,251,188,122,90,64,42,55,107,215,173
1961,360,610,476,239,199,140,109,75,51,48,82,158,212
1962,365,402,409,238,170,138,89,86,69,93,176,543,232
1963,474,449,293,167,123,104,89,74,56,27,59,69,165
1964,234,381,190,182,124,98,83,68,42,89,141,246,157
1965,429,476,712,428,221,153,126,103,76,146,221,293,282
1966,421,697,458,325,207,156,113,96,109,91,204,263,262
1967,360,522,379,291,178,134,102,81,71,55,141,267,215
1968,306,397,490,279,181,141,113,122,95,168,282,303,240
1969,179,211,188,132,124,72,54,40,36,67,221,210,128
1970,373,707,397,187,123,100,96,68,75,93,137,114,206
1971,96,104,112,118,74,62,44,41,37,70,221,302,107
1972,155,170,179,197,108,79,66,50,44,96,149,267,130
1973,236,297,350,330,157,111,89,68,62,155,199,216,189
1974,186,191,359,328,203,137,97,82,64,114,82,128,164
1975,135,158,116,255,117,82,64,55,47,66,91,91,106
1976,122,124,196,142,109,73,58,52,55,67,131,303,119
1977,335,341,183,227,136,105,78,60,55,63,143,185,159
1978,405,313,320,225,160,114,90,71,61,71,95,204,177
1979,463,309,321,254,158,120,95,74,70,83,123,149,185
1980,414,620,319,278,179,136,111,88,79,75,131,227,221
1981,270,176,234,244,147,115,93,74,55,123,293,264,174
1982,515,342,474,340,221,165,128,108,98,131,132,218,239
1983,420,633,505,334,214,163,132,110,104,122,205,310,271
1984,260,205,199,209,131,95,72,62,64,65,68,118,129
1985,405,290,302,234,132,100,82,64,53,82,122,192,172
1986,292,242,160,100,94,66,56,54,43,45,48,74,106
1987,159,146,190,192,162,91,58,48,43,52,167,325,136
1988,208,221,397,277,193,130,95,72,52,98,132,219,175
1989,188,237,239,137,102,83,66,62,64,65,149,522,160
1990,361,272,210,189,161,115,100,67,82,80,97,95,152
1991,184,181,327,328,215,121,105,79,59,65,131,247,170
1992,258,412,252,344,190,145,112,94,103,175,299,348,228
1993,282,364,282,241,157,123,96,85,76,85,93,243,177
1994,392,290,531,371,194,145,119,92,70,65,131,229,219
1995,233,249,257,280,182,122,93,73,58,62,114,153,156
1996,148,112,157,143,115,61,45,37,34,44,96,132,94
1997,265,183,233,289,167,129,98,74,66,62,73,125,147
1998,153,196,183,128,92,71,51,39,29,48,120,163,106
1999,130,110,220,108,75,54,41,31,35,50,91,145,91
2000,220,235,308,175,112,83,66,51,77,53,150,229,147
2001,172,131,211,164,103,82,61,46,48,78,126,171,116
2002,292,368,233,165,103,78,63,50,53,38,76,106,135
2003,198,203,233,194,107,77,59,46,42,44,92,111,117
2004,249,590,480,417,260,142,108,83,60,68,98,141,225
2005,227,337,383,212,133,98,74,66,56,59,74,243,164
2006,204,216,345,370,173,115,94,74,66,171,210,352,199
2007,454,486,268,202,128,92,70,54,44,42,78,165,174
2008,205,333,359,240,140,107,81,58,54,61,88,189,160
2009,206,274,201,299,194,122,89,77,83,137,154,273,176
2010,251,188,209,181,97,70,61,45,35,65,130,297,136
2011,308,238,333,226,141,107,82,65,50,94,112,192,162
2012,314,268,193,165,107,85,62,47,46,41,132,109,131
2013,254,225,207,310,140,105,72,52,48,87,84,200,149
2014,149,164,312,325,146,97,74,58,46,35,78,157,137
2015,74,111,214,240,144,89,68,46,37,35,59,70,99
2016,200,152,180,77,60,43,37,34,30,36,90,102,87
